Target_name,RA_1,Dec_1,source_id,ra_2,ra_error,dec_2,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_template_logg,rv_template_fe_h,phot_variable_flag,teff_val,a_g_val,GroupID,GroupSize,Separation
HV01954,16.002917,-72.233611,4687504187080507520,16.001230955814222,0.09324436274769864,-72.23368764415862,0.053761390562424405,-0.06573253098993455,0.06872764342287939,1.1138980831682173,-1.1161873176283832,16.639189,,,,,,NOT_AVAILABLE,,,,,1.8725423335037166
HV01967,16.102917,-72.01,4690514409387546880,16.103063997402426,0.02206285944895423,-72.0095582514491,0.013274740560649265,-0.002607689475835017,0.016840752028382585,0.8221698763818335,-1.2370499782107323,13.537116,1.08076,,,,,VARIABLE,5028.8975,,,,1.5986716711352151
HV02064,17.04875,-72.521667,4687455911636934016,17.048268330376345,0.017475814401142375,-72.52176854231807,0.013393055930743577,-0.00695451173148741,0.01800064563750344,0.8328189915560712,-1.1660177794851712,13.550122,1.0837135,,,,,VARIABLE,5034.5576,,,,0.6362871471529932
HV02195,18.617083,-72.664722,4687243705890123776,18.61695017983987,0.017908842884141806,-72.66487531166015,0.014828525972255395,-0.02428950990184666,0.017329388827968747,1.007922307369916,-1.2043223373430174,12.884989,1.0941381,144.83614936044683,6.161135827764039,1.0,-0.5,VARIABLE,5022.1997,,,,0.5700139100550163
HV02205,19.24375,-73.719444,4686338086250442624,19.242550191957292,0.01797852493160399,-73.71962381460246,0.015524795607464528,-0.024250616286434563,0.018379369765900648,0.9956884598796201,-1.1062870214787675,13.973835,1.1749821,,,,,VARIABLE,4896.7197,,,,1.3730449013422792
HV02209,19.47125,-73.623611,4686344889478610176,19.470838246214512,0.013973025997012863,-73.62365875458565,0.011726530915984803,-0.05285009315385334,0.013941886239780264,0.9783587368322539,-1.17683475791847,13.461521,0.88390255,,,,,VARIABLE,5623.5605,,,,0.45190974259930916
HV02231,22.605417,-73.311667,4686455871431637888,22.606365069284003,0.017348105444458126,-73.31142406419481,0.01251212684744889,-0.025589700176773485,0.0140906911451036,1.0930010940614303,-1.1575113537666295,13.335501,1.201292,,,,,VARIABLE,4952.6665,,3,2,1.3135828388199895
HV02233,22.605417,-73.311667,4686455871431637888,22.606365069284003,0.017348105444458126,-73.31142406419481,0.01251212684744889,-0.025589700176773485,0.0140906911451036,1.0930010940614303,-1.1575113537666295,13.335501,1.201292,,,,,VARIABLE,4952.6665,,3,2,1.3135828388199895
HV11129,12.026667,-72.873889,4688957397871848320,12.02605960326803,0.02195770743041937,-72.87393825431121,0.016231946643017692,0.042883035924884585,0.020682648546464025,0.6826100670125579,-1.2038038198162648,14.501148,1.3079348,,,,,VARIABLE,4900.0,,,,0.6678763103034376
HV11157,13.23625,-71.9175,4689268280459336320,13.236711165282937,0.029326246143291726,-71.91757348650769,0.021280240799510207,-0.030189778616528353,0.028219307942547338,0.6276405565026739,-1.1296839374210088,12.665885,1.2520056,,,,,VARIABLE,4773.735,,,,0.5792426095489224
